Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2017","2017","TJ","8953.884","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2018","2018","TJ","7746.851","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2019","2019","TJ","10094.789","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2020","2020","TJ","11637.253","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2021","2021","TJ","13885.897","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2022","2022","TJ","11343.441","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2023","2023","TJ","11343.441","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2013","2013","TJ","301.052","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2014","2014","TJ","326.748","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2015","2015","TJ","337.041","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2016","2016","TJ","353.028","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2017","2017","TJ","382.701989","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2018","2018","TJ","449.246307","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2019","2019","TJ","550.867636","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2020","2020","TJ","653.616304","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2021","2021","TJ","920.493792","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2022","2022","TJ","1082.099148","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2023","2023","TJ","1082.099148","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2013","2013","TJ","21586.778241","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2014","2014","TJ","21026.684278","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2015","2015","TJ","19946.188416","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2016","2016","TJ","20390.246994","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2017","2017","TJ","20545.912518","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2018","2018","TJ","22281.844947","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2019","2019","TJ","21890.293279","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2020","2020","TJ","21358.746476","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2021","2021","TJ","22714.991822","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2022","2022","TJ","20543.656078","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2023","2023","TJ","20543.656078","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2013","2013","TJ","1601.127193","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2014","2014","TJ","1707.320051","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2015","2015","TJ","1445.186244","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2016","2016","TJ","1915.857785","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2017","2017","TJ","1343.54402","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2018","2018","TJ","268.072172","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2019","2019","TJ","369.550556","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2020","2020","TJ","404.275694","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2021","2021","TJ","2425.654163","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2022","2022","TJ","3324.142159","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6506","Food Packaging","2023","2023","TJ","3324.142159","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2013","2013","TJ","13933.80014","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2014","2014","TJ","14024.711223","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2015","2015","TJ","14119.789298","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2016","2016","TJ","14138.263431","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2017","2017","TJ","14003.026844","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2018","2018","TJ","13876.259791","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2019","2019","TJ","13709.787432","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2020","2020","TJ","12429.298687","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2021","2021","TJ","13330.733297","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2022","2022","TJ","12342.052643","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6506","Food Packaging","2023","2023","TJ","12342.052643","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2013","2013","TJ","1679.939253","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2014","2014","TJ","1606.909756","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2015","2015","TJ","1558.661925","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2016","2016","TJ","1821.835099","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2017","2017","TJ","1847.423006","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2018","2018","TJ","1758.30025","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2019","2019","TJ","1699.48838","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2020","2020","TJ","1640.133833","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2021","2021","TJ","2049.327448","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2022","2022","TJ","2262.674378","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6506","Food Packaging","2023","2023","TJ","2262.674378","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2013","2013","TJ","98321.52","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2014","2014","TJ","84456.9","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2015","2015","TJ","89792.34","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2016","2016","TJ","91324.2","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2017","2017","TJ","94401.50544","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2018","2018","TJ","98146.86288","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2019","2019","TJ","96094.36914","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2020","2020","TJ","87896.35536","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2021","2021","TJ","99632.56842","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2022","2022","TJ","83221.38792","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6508","Food Retail","2023","2023","TJ","77978.44032","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2013","2013","TJ","1216.127009","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2014","2014","TJ","955.095105","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2015","2015","TJ","980.981041","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2016","2016","TJ","1049.689064","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2017","2017","TJ","965.919736","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2018","2018","TJ","916.619842","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2019","2019","TJ","903.241176","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2020","2020","TJ","811.806627","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2021","2021","TJ","937.647326","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2022","2022","TJ","797.884384","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6508","Food Retail","2023","2023","TJ","449.262264","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2013","2013","TJ","171259.704","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2014","2014","TJ","163898.856","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2015","2015","TJ","167934.492","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2016","2016","TJ","168547.5","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2017","2017","TJ","167982.159312","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2018","2018","TJ","166903.8426","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2019","2019","TJ","162291.5811","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2020","2020","TJ","150261.395328","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2021","2021","TJ","156797.961408","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2022","2022","TJ","156465.726516","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6508","Food Retail","2023","2023","TJ","153170.422416","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2013","2013","TJ","9587.82","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2014","2014","TJ","9064.77","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2015","2015","TJ","9835.98","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2016","2016","TJ","10891.98","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2017","2017","TJ","11172.34206","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2018","2018","TJ","11109.23946","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2019","2019","TJ","11067.77628","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6508","Food Retail","2020","2020","TJ","11325.24888","E","Estimated value"
